male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
1,29,9,0,9,NA,0,0,0,0.75,1,NA,1
1,26,13,0,6,1,0,0,0,1,0.5,0,1
1,23,9,0,5,NA,NA,0,0,0.5,1,NA,NA
1,58,9,0,7,0,NA,1,0,0.75,1,1,NA
0,38,9,0,5,1,NA,0,0,0.5,0.5,0,NA
1,60,14,0,9,0,0,1,0,0.5,0.5,1,1
1,58,5,0,8,1,1,0,0,0.5,1,0,0
0,56,9,0,6,0,0,0,0,0.75,1,1,1
1,45,9,0,6,0,NA,1,0,1,1,1,NA
0,30,10,0,5,NA,NA,0,0,0.5,0.5,NA,NA
1,30,13,0,6,NA,NA,1,0,0.5,0.5,NA,NA
1,67,12,0,7,1,0,0,1,1,1,0,1
0,62,14,0,4,1,1,0,0,0.25,0.5,0,0
1,51,9,0,5,NA,NA,0,0,0.75,1,NA,NA
1,46,14,0,3,1,1,1,0,0.25,0.5,0,0
1,70,13,0,8,0,0,1,0,0.5,0,1,1
0,30,14,0,3,1,1,0,0,0.25,0,0,0
0,67,10,0,6,1,NA,0,0,0.5,1,0,NA
0,66,9,0,7,0,NA,0,0,1,1,1,NA
0,32,12,0,6,0,0,0,1,0.75,1,1,1
0,56,10,0,5,NA,1,0,0,0.5,1,NA,0
0,65,14,0,6,1,0,0,0,0.75,1,0,1
1,61,8,0,10,0,0,0,0,0.5,0.5,1,1
1,34,7,0,5,NA,NA,0,0,0.75,1,NA,NA
0,68,13,0,NA,NA,NA,0,0,1,0.5,NA,NA
0,25,9,0,5,NA,NA,0,0,0.75,1,NA,NA
1,73,14,0,0,1,1,0,0,0.75,1,0,0
0,67,9,0,7,0,NA,0,0,1,1,1,NA
0,35,14,0,5,1,NA,1,0,0.5,1,0,NA
0,73,10,0,8,0,0,1,0,0.5,1,1,1
1,69,13,0,8,0,0,0,0,1,1,1,1
0,41,13,0,5,1,NA,0,0,0.5,1,0,NA
1,67,16,0,2,1,1,1,0,0.25,0.5,0,0
1,54,11,0,7,0,0,0,0,1,1,1,1
1,48,4,0,7,NA,NA,0,0,0.75,0.5,NA,NA
0,26,10,0,4,1,1,0,0,0,1,0,0
0,NA,8,0,8,0,NA,0,0,1,NA,1,NA
0,25,11,0,5,0,0,1,0,1,0,1,1
0,46,13,0,10,1,1,0,0,0,1,0,0
1,59,11,0,9,0,0,0,0,1,1,1,1
0,39,12,0,NA,0,0,0,0,0.75,1,1,1
0,52,13,0,3,1,1,0,0,0,1,0,0
0,29,13,0,5,NA,NA,1,0,0.5,1,NA,NA
1,46,11,0,6,1,0,0,0,1,1,0,1
1,45,NA,0,1,1,NA,0,0,0.5,1,0,NA
0,61,14,0,6,1,1,0,0,1,1,0,0
1,55,11,0,8,0,0,0,0,0.5,1,1,1
0,35,16,0,2,1,1,0,0,0.5,0.5,0,0
0,24,12,0,NA,1,NA,0,0,0.5,1,0,NA
0,85,2,0,7,NA,1,0,0,0.5,0.5,NA,0
1,61,13,0,9,NA,1,0,0,1,1,NA,0
0,52,13,0,3,1,1,0,0,0.5,1,0,0
1,56,9,0,NA,NA,NA,1,0,0.5,1,NA,NA
1,68,10,0,4,1,1,1,0,0.5,1,0,0
0,76,10,0,6,1,1,0,0,0.5,1,0,0
1,31,13,0,5,NA,0,1,0,0.5,0.5,NA,1
0,19,13,0,7,0,0,0,0,0.5,0.5,1,1
1,57,14,0,2,1,NA,0,0,0.5,1,0,NA
0,27,9,0,10,NA,NA,0,0,0.5,1,NA,NA
0,32,9,0,6,NA,NA,0,0,1,1,NA,NA
1,45,12,0,1,1,NA,0,0,0.25,1,0,NA
0,50,7,0,10,NA,1,0,0,0.5,0.5,NA,0
0,68,14,0,7,1,1,0,0,1,1,0,0
1,60,10,0,4,1,1,0,0,0.5,1,0,0
0,36,13,0,10,1,1,0,0,0.25,1,0,0
0,27,7,0,7,NA,1,0,0,0.25,1,NA,0
1,NA,9,0,7,NA,NA,1,0,0.5,1,NA,NA
0,46,10,0,7,NA,0,1,0,1,0.5,NA,1
1,35,10,0,5,NA,1,0,0,0.5,0,NA,0
0,44,9,0,NA,NA,NA,0,0,0.75,1,NA,NA
0,78,9,0,8,1,1,0,0,0.5,1,0,0
0,65,12,0,8,1,1,0,0,0.75,0.5,0,0
1,55,9,0,3,1,1,0,0,0.5,1,0,0
0,69,13,0,8,1,1,0,0,0,1,0,0
1,55,13,0,4,1,1,0,0,0.75,0.5,0,0
1,31,13,0,3,NA,NA,0,0,0.75,1,NA,NA
1,68,14,0,3,1,1,1,0,0.5,1,0,0
1,42,16,0,5,NA,0,0,0,1,0.5,NA,1
0,82,9,0,7,0,0,1,0,1,1,1,1
0,42,12,0,0,NA,NA,0,0,0.5,1,NA,NA
1,30,10,0,1,1,1,0,0,0.75,0.5,0,0
0,23,13,0,6,0,0,0,0,0.5,1,1,1
1,51,9,0,6,NA,1,0,0,0.75,0.5,NA,0
0,66,14,0,5,NA,NA,0,0,0.75,0.5,NA,NA
0,29,12,0,7,0,0,0,0,0.5,1,1,1
0,36,13,0,3,1,1,0,0,0.5,0.5,0,0
0,47,13,0,4,1,1,0,0,0.5,1,0,0
1,61,9,0,5,0,1,1,0,0.5,1,1,0
0,26,13,0,2,1,1,0,0,0.5,0.5,0,0
1,88,8,0,NA,NA,NA,0,0,1,0.5,NA,NA
0,83,3,1,10,1,0,0,0,0.5,0,0,1
1,51,13,0,4,NA,NA,0,0,0.5,1,NA,NA
1,36,9,0,4,NA,1,0,0,0.5,0.5,NA,0
0,68,11,0,4,0,1,0,0,0,NA,1,0
1,23,9,0,5,NA,NA,0,0,0.5,0.5,NA,NA
0,34,10,0,5,NA,NA,0,0,1,1,NA,NA
0,58,10,1,5,1,0,0,0,0.75,1,0,1
1,69,13,0,7,0,0,1,0,0.75,1,1,1
1,19,10,0,5,NA,NA,0,0,0.5,1,NA,NA
1,30,9,1,5,1,1,0,0,0.5,0.5,0,0
0,75,9,0,5,1,0,0,1,0,1,0,1
1,50,9,0,5,0,0,0,0,1,1,1,1
1,54,13,0,8,1,1,1,0,0.5,1,0,0
0,38,9,0,5,NA,NA,1,0,0.5,1,NA,NA
0,27,10,0,5,NA,0,0,0,1,1,NA,1
0,69,11,0,6,NA,0,0,0,0.5,1,NA,1
0,33,9,0,5,0,NA,0,0,0.75,1,1,NA
1,26,9,0,8,NA,NA,1,0,0.75,0.5,NA,NA
0,34,12,0,4,NA,NA,0,0,0.25,0,NA,NA
0,33,13,0,4,1,1,0,0,0.25,0.5,0,0
1,57,10,0,5,0,0,0,0,0.75,0.5,1,1
1,27,11,0,5,NA,NA,0,0,0.5,0.5,NA,NA
0,38,9,0,8,0,0,0,0,1,1,1,1
1,81,9,0,8,NA,1,0,0,1,1,NA,0
0,51,NA,0,4,0,NA,0,0,0.5,1,1,NA
0,75,9,0,NA,1,1,0,0,0.5,1,0,0
0,74,11,0,10,0,0,1,0,1,1,1,1
1,43,13,0,5,1,1,1,0,0.5,1,0,0
1,58,13,0,4,NA,1,1,0,0.5,1,NA,0
0,36,13,1,0,1,NA,0,0,0.5,1,0,NA
0,23,13,0,6,0,NA,0,0,0.75,1,1,NA
0,88,10,0,10,0,NA,0,0,0.75,0.5,1,NA
0,57,9,0,7,0,0,0,0,1,1,1,1
0,59,14,0,1,1,1,0,0,0.5,0.5,0,0
0,86,14,0,10,0,NA,1,0,0.25,0.5,1,NA
0,84,10,0,5,NA,0,0,0,1,1,NA,1
