left2010,left2019,left2015,vote2010,vote2015,vote2019,male,age,education,unemployed,ideology,iv_immigration,iv_economy,imm_issue,eco_issue,right2010,right2015,right2019
0,NA,1,United Kingdom Independence Party (UKIP),Labour,NA,1,NA,NA,NA,8,1,1,0,0,1,0,NA
0,0,0,Conservative,Conservative,Conservative,0,68,5,0,8,0.25,0.5,0,0,1,1,1
1,NA,1,Liberal Democrat,Labour,NA,0,81,5,0,4,0.75,0.75,NA,0,0,0,NA
1,1,1,Labour,Labour,Labour,1,54,3,0,3,1,1,NA,0,0,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,8,1,0.25,0,1,1,1,1
1,1,1,Labour,Labour,Liberal Democrat,1,NA,NA,NA,4,0.75,0.75,NA,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,0.75,0.5,0,1,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,81,1,0,7,0.75,0.25,0,1,1,1,1
0,0,0,Conservative,Conservative,Conservative,0,73,5,0,NA,1,0.25,0,1,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,8,1,0,0,0,1,1,NA
0,1,1,Conservative,Labour,Labour,0,NA,NA,NA,0,0.75,1,0,0,1,0,0
0,0,0,British National Party (BNP),United Kingdom Independence Party (UKIP),Conservative,1,59,2,0,8,1,1,0,1,1,1,1
1,1,1,Liberal Democrat,Green Party,Green,1,NA,NA,NA,2,0.5,1,0,0,0,0,0
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,1,1,1,0,NA,1,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,5,1,0.25,1,0,0,0,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,7,0.75,0.75,0,0,0,1,NA
0,1,1,Conservative,Labour,Labour,0,NA,NA,NA,NA,1,1,1,0,1,0,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,0,53,3,0,5,1,0.25,1,0,NA,1,NA
1,1,1,Labour,Labour,Liberal Democrat,0,35,5,0,2,0.5,0.75,0,0,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,84,2,0,10,1,0,1,0,1,1,1
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,0,1,1,0,1,NA,0,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,8,1,0.25,0,1,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,1,NA,NA,NA,2,0,1,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,78,2,0,9,1,0.25,0,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,NA,1,0.5,1,0,1,1,1
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,8,1,0.75,1,0,0,0,NA
1,NA,NA,Labour,NA,NA,1,61,5,0,5,1,0.5,0,1,0,NA,NA
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,64,4,0,6,0.5,1,1,0,0,1,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,2,0.5,0.75,0,1,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,59,5,0,7,0.75,0.5,0,1,1,1,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,2,0.25,1,0,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,0.5,0.5,0,1,1,1,NA
0,1,0,Conservative,Conservative,Liberal Democrat,0,NA,NA,NA,7,0.75,0.75,NA,0,1,1,0
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,5,1,1,1,0,0,1,NA
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,3,0.5,0.75,0,0,0,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,7,1,0.75,0,0,1,1,1
1,1,0,Liberal Democrat,Conservative,Liberal Democrat,1,71,3,0,6,1,0.25,0,0,0,1,0
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,4,1,0.75,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,6,0.75,0.5,0,0,1,1,1
0,1,0,Conservative,Conservative,Liberal Democrat,1,NA,NA,NA,7,0.75,0.25,0,0,1,1,0
0,1,0,Conservative,Conservative,Labour,1,NA,NA,NA,7,0.75,0.5,0,1,1,1,0
1,1,1,Labour,Labour,Labour,1,72,5,0,3,0.75,1,0,0,0,0,0
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,51,5,0,8,1,0.25,0,0,1,1,1
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,8,1,0.75,1,0,1,1,NA
0,0,0,Conservative,Conservative,Conservative,1,71,3,0,8,0.75,0.25,0,0,1,1,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,10,1,0.5,1,0,1,1,1
0,NA,0,British National Party (BNP),United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,5,1,1,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,5,1,0.75,NA,0,1,1,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,2,0.5,0.75,0,0,0,0,NA
1,1,1,Liberal Democrat,Labour,Liberal Democrat,1,73,5,0,2,1,1,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,10,0.75,0.5,0,1,1,1,NA
0,NA,1,United Kingdom Independence Party (UKIP),Labour,NA,0,NA,NA,NA,6,0.75,0.75,0,1,1,0,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,1,0.5,1,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,51,3,0,7,1,NA,1,0,1,1,1
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,8,1,0.75,1,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0.5,NA,0,1,1,NA
1,NA,0,Liberal Democrat,Conservative,NA,1,NA,NA,NA,6,0.75,0.5,0,0,0,1,NA
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,7,1,0.25,0,0,1,1,1
0,NA,0,British National Party (BNP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,10,1,0.5,1,0,1,1,NA
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,NA,0.75,0.75,0,0,NA,0,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,NA,1,0.25,1,0,1,1,1
NA,0,0,NA,Conservative,Conservative,1,68,4,0,5,0.75,0.25,NA,0,NA,1,1
0,0,0,Conservative,Conservative,Conservative,1,56,5,0,8,1,0.5,1,0,1,1,1
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,4,1,1,1,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,7,1,0.25,0,1,1,1,NA
1,1,1,Liberal Democrat,Labour,Plaid Cymru,0,NA,NA,NA,4,0.75,1,0,1,0,0,0
0,0,0,Conservative,Conservative,Conservative,0,73,3,0,7,1,0.75,0,0,1,1,1
1,NA,1,Liberal Democrat,Green Party,NA,0,NA,NA,NA,5,0.5,0.75,0,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,7,1,0,0,0,1,1,NA
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,2,0.5,0.75,0,0,0,NA,NA
1,1,1,Labour,Labour,Labour,1,65,5,0,0,0.5,1,0,1,0,0,0
1,1,1,Labour,Labour,Labour,1,NA,NA,NA,1,0.5,1,0,1,0,0,0
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,10,1,0.5,0,1,1,1,NA
0,1,0,Conservative,Conservative,Liberal Democrat,1,NA,NA,NA,7,0.5,0.25,0,1,1,1,0
