male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,CC16_301d,CC16_301i,CC16_331_1,CC16_331_2,CC16_331_3,CC16_331_4,CC16_331_5,CC16_331_6,CC16_331_7,CC16_331_8,right2012,right2016
0,25,1,1,4,NA,NA,1,1,0.25,NA,2,1,1,2,2,2,2,2,2,2,NA,NA
1,26,3,0,6,1,NA,1,1,0.375,0.5,2,2,2,2,2,2,2,2,2,2,0,NA
1,76,4,0,4,1,1,1,1,0.375,0.5,2,1,1,1,1,1,2,2,2,2,0,0
0,47,5,0,4,NA,NA,1,1,0.5,0.5,2,2,1,1,2,2,2,2,2,1,NA,NA
0,57,3,0,6,0,NA,1,1,0.25,0.25,1,2,2,2,1,2,2,2,2,2,1,NA
0,62,5,0,6,0,0,0,1,0.875,0,1,3,2,2,2,1,1,2,1,1,1,1
0,45,5,0,3,1,1,1,1,0.375,0.75,1,1,1,1,1,1,2,1,1,2,0,0
0,22,3,0,NA,NA,NA,1,1,0.25,0.5,1,1,2,2,1,2,2,2,2,2,NA,NA
1,64,5,0,4,1,1,1,1,0.375,0.75,2,2,1,1,1,1,2,2,2,2,0,0
1,57,5,0,7,NA,NA,1,0,0.625,0,3,1,1,1,2,1,1,2,2,2,NA,NA
0,59,6,0,1,1,1,1,1,0.125,0.25,2,1,1,2,1,2,2,2,2,2,0,0
1,57,5,0,7,0,0,1,1,0.75,0,1,1,2,1,2,1,2,2,1,2,1,1
1,52,5,0,2,1,1,1,1,0.625,1,1,1,2,1,1,1,2,2,1,2,0,0
1,53,5,0,2,1,1,1,0,0.25,0.5,NA,2,1,2,1,2,1,2,2,2,0,0
1,74,6,0,3,1,1,0,0,0.125,0.75,3,3,1,2,1,2,2,2,2,2,0,0
1,67,1,0,4,NA,NA,1,1,1,0.25,1,2,2,1,2,1,1,2,1,1,NA,NA
1,77,2,0,7,0,0,1,1,0.75,0,1,1,2,1,2,1,1,1,1,2,1,1
0,82,6,0,3,1,1,1,1,0.5,0.5,1,1,1,1,1,1,2,2,1,2,0,0
0,59,6,0,2,1,1,1,1,0.25,0.5,2,1,1,1,1,2,2,2,2,2,0,0
1,62,3,0,5,NA,0,1,1,0.875,0,1,2,2,2,2,1,1,2,1,1,NA,1
1,55,3,0,NA,NA,NA,1,1,1,0.25,1,1,2,1,2,1,1,2,1,1,NA,NA
0,72,3,0,4,0,0,1,1,0.875,0,1,1,2,1,2,1,1,2,1,2,1,1
1,59,6,0,7,0,NA,0,0,0.375,NA,4,4,1,2,2,1,2,2,2,2,1,NA
0,50,5,0,7,0,NA,1,1,0.5,0.5,2,1,2,1,1,1,2,2,2,2,1,NA
1,70,5,0,2,1,1,1,0,0.125,0.75,3,2,1,2,1,2,2,2,2,2,0,0
0,74,5,0,4,0,1,0,0,0.5,0.25,3,3,1,1,1,1,1,2,2,2,1,0
0,55,5,0,2,1,1,0,0,0.375,0.75,3,3,1,1,2,1,2,1,2,2,0,0
0,47,3,0,3,1,1,1,1,0.125,0.5,2,2,1,2,1,2,2,2,2,2,0,0
1,57,3,0,7,0,0,1,1,1,0.5,2,1,2,1,2,1,1,2,1,1,1,1
0,46,5,0,6,0,0,1,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1
1,62,4,0,2,1,1,1,1,0.25,0.75,2,2,1,2,2,2,2,2,2,2,0,0
0,24,3,0,4,1,1,1,1,0.75,0.25,1,1,2,1,2,1,2,2,2,1,0,0
1,55,5,0,1,1,NA,1,0,0.375,0.5,3,1,2,2,2,2,2,1,1,2,0,NA
0,33,2,0,6,NA,NA,1,1,1,NA,1,1,2,1,2,1,1,2,1,1,NA,NA
0,49,5,1,NA,1,1,1,1,0.25,0.5,2,1,1,2,2,2,2,2,2,2,0,0
1,64,3,0,3,1,1,1,1,0.5,0.25,2,2,1,1,2,1,2,2,2,2,0,0
1,58,6,0,2,1,1,1,1,0.125,0,1,1,1,2,1,2,2,2,2,2,0,0
1,62,5,0,5,0,0,1,1,0.875,0,1,1,2,1,2,1,1,2,1,2,1,1
1,45,5,0,2,1,1,1,0,0.125,0.75,3,2,1,2,1,1,2,1,2,2,0,0
0,59,5,0,2,1,1,0,0,0.125,0.25,3,3,1,2,1,2,2,2,2,2,0,0
0,47,2,1,4,0,NA,1,1,0.5,0.5,1,1,2,2,2,1,2,2,2,2,1,NA
0,56,3,0,2,1,1,1,1,0.5,1,2,1,2,1,2,2,2,2,2,2,0,0
0,63,3,0,2,1,1,1,1,0.125,0.5,2,1,1,2,1,2,2,2,2,2,0,0
0,38,6,0,2,1,1,1,0,0.25,0.75,3,1,1,2,1,1,2,2,2,2,0,0
1,36,6,0,1,1,1,1,1,0.25,1,1,2,1,2,1,1,2,1,1,2,0,0
0,72,6,0,6,0,NA,1,1,0.375,0.25,2,2,1,1,1,1,2,2,2,2,1,NA
1,26,4,0,4,0,NA,1,0,0.125,0,5,2,1,2,1,2,2,2,2,2,1,NA
1,63,6,0,3,1,1,1,1,0.125,1,2,2,1,2,1,2,2,2,2,2,0,0
