male,age,education,unemployed,ideology,left01,left02,right01,right02,eco_issue,imm_issue,iv_immigration,iv_economy
0,51,6,0,5,1,1,0,0,0,0,0.5,0.8333333333333334
1,28,6,0,2,1,1,0,0,0,0,0.5,0.5
1,70,3,0,10,0,0,1,1,0,0,0.75,0.8333333333333334
1,17,NA,0,3,1,1,0,0,0,0,0.25,0.6666666666666666
0,57,3,0,11,1,1,0,0,0,0,1,1
0,23,6,0,4,1,1,0,0,0,0,0.5,0.6666666666666666
1,20,5,0,6,0,0,1,1,0,0,0.75,0.6666666666666666
1,48,4,0,6,0,0,1,1,0,0,1,0.3333333333333333
1,56,5,0,6,1,0,0,1,0,0,0.75,0.6666666666666666
0,61,6,0,7,0,0,1,1,0,0,1,0.5
0,69,4,0,7,0,0,1,1,0,0,0.25,0.3333333333333333
0,72,4,0,9,0,0,1,1,0,0,0.5,0.6666666666666666
0,58,4,0,NA,0,0,1,1,0,0,0.5,1
0,45,6,0,6,0,0,1,1,0,0,0.75,0.16666666666666666
1,60,6,0,10,0,0,1,1,0,1,1,0.5
1,68,5,0,3,1,1,0,0,0,0,0.25,1
1,33,5,0,1,1,0,0,1,0,0,0.75,0.3333333333333333
0,23,4,0,2,1,1,0,0,0,0,0.5,0.8333333333333334
0,65,3,0,5,1,1,0,0,0,1,0.75,0.6666666666666666
1,48,3,0,NA,0,0,1,1,0,0,1,0.5
0,58,3,0,NA,0,0,1,1,0,0,0.25,1
0,19,4,0,3,1,0,0,1,0,0,0,0
1,26,5,0,5,1,1,0,0,0,0,0.75,0.5
1,42,6,0,4,1,1,0,0,0,0,1,0.3333333333333333
1,75,4,0,5,0,0,1,1,0,0,0.75,0.5
1,57,4,0,6,0,1,1,0,0,0,0.75,0.6666666666666666
1,45,6,0,8,0,0,1,1,0,0,0.75,0.5
0,63,6,0,2,1,1,0,0,0,0,0,1
0,49,3,0,4,0,0,1,1,0,1,1,0
0,57,3,0,NA,0,0,1,1,0,0,0.5,0.6666666666666666
1,51,5,0,4,1,1,0,0,0,0,0.75,0.6666666666666666
0,71,3,0,6,0,0,1,1,0,0,0.75,0.5
1,38,6,0,8,0,0,1,1,0,0,1,0.16666666666666666
1,27,6,1,3,1,1,0,0,0,0,0.25,0.5
0,39,4,0,6,0,0,1,1,0,0,0.75,0.5
0,30,4,0,7,0,0,1,1,0,0,0.5,0.5
1,43,6,0,1,1,1,0,0,0,0,0,1
1,72,3,0,4,1,1,0,0,0,0,0.75,0.8333333333333334
1,54,4,0,6,1,1,0,0,0,1,0.75,0.6666666666666666
1,67,3,0,5,0,0,1,1,0,0,0.75,0.3333333333333333
1,59,3,0,4,1,0,0,1,0,0,1,0.6666666666666666
1,59,5,1,7,0,0,1,1,0,0,0.75,0.8333333333333334
0,42,6,0,5,0,1,1,0,0,0,0.5,0.6666666666666666
1,64,5,0,4,1,0,0,1,0,1,1,0.5
0,54,6,0,3,1,1,0,0,0,0,0,0.8333333333333334
1,75,5,0,4,0,0,1,1,0,0,1,1
0,35,6,0,3,1,1,0,0,0,0,0.25,0.16666666666666666
0,18,6,0,3,1,0,0,1,0,0,0.25,0.5
0,50,6,0,6,0,0,1,1,0,0,1,0.5
1,37,4,0,3,1,1,0,0,0,0,1,0.3333333333333333
0,69,5,0,3,0,0,1,1,0,0,0.5,0.6666666666666666
0,66,3,0,NA,0,0,1,1,0,1,1,1
1,58,4,0,1,1,1,0,0,0,0,0,0.5
0,46,4,0,8,0,0,1,1,0,0,1,0.5
0,69,4,0,8,0,1,1,0,0,0,1,0.6666666666666666
